column,dtype,is_object_dtype,approx_cardinality,null_rate,is_constant_numeric,dominant_value_share,is_near_constant,in_config_categorical_features,flagged_by_heuristic,is_high_cardinality_object,in_config_drop_features
MONTHLY_REPORTING_PERIOD,string,True,203,0.0,False,,False,False,True,True,True
MSA,string,True,453,0.3429313141373717,False,,False,False,True,True,False
LOAN_SEQUENCE_NUMBER,string,True,245605,0.0,False,,False,False,True,True,True
ORIGINAL_LTV,int32,False,1,1.0,False,1.0,True,False,True,False,False
dti_ltv_interaction,float64,False,1,0.0,True,1.0,True,False,True,False,False
target,int32,False,2,0.0,False,0.9846320307359385,False,False,True,False,False
PPM_FLAG,int32,False,2,0.0,False,0.9978720042559915,True,True,True,False,False
ever_modified,int32,False,2,0.0,False,0.999978000044,True,False,True,False,False
MODIFICATION_FLAG,int32,False,3,0.999978000044,False,1.7999964000072e-05,False,True,True,False,False
FIRST_TIME_HOMEBUYER_FLAG,int32,False,3,0.000445999108001784,False,0.9099501800996398,False,True,True,False,False
OCCUPANCY_STATUS,int32,False,3,0.0,False,0.044675910648178704,False,True,True,False,False
PROPERTY_TYPE,int32,False,3,0.19791760416479168,False,0.009163981672036655,False,True,True,False,False
LOAN_PURPOSE,int32,False,3,0.30356339287321427,False,0.31886136227727546,False,True,True,False,False
NUMBER_OF_BORROWERS,int32,False,3,0.000371999256001488,False,0.5850308299383401,False,True,True,False,False
observation_quarter,int32,False,4,0.0,False,0.2508714982570035,False,False,True,False,False
delinquency_trend_6m,int32,False,4,0.0,False,0.000317999364001272,False,False,True,False,False
NUMBER_OF_UNITS,int32,False,9,4.3999912000176e-05,False,0.01846796306407387,False,True,True,False,False
CHANNEL,int32,False,9,9.3999812000376e-05,False,0.013507972984054033,False,True,True,False,False
origination_year,int32,False,9,0.0,False,0.12522974954050092,False,False,True,False,True
months_since_modification,int32,False,10,0.0,False,0.999978000044,True,False,True,False,False
observation_month,int32,False,12,0.0,False,0.08320783358433283,False,False,True,False,False
seasonality_sin,float64,False,12,0.0,False,0.08288783422433155,False,False,True,False,False
seasonality_cos,float64,False,12,0.0,False,0.08378183243633512,False,False,True,False,False
max_delinquency_3m,int32,False,12,0.08749182501634997,False,0.0001999996000008,False,False,True,False,False
max_delinquency_6m,int32,False,12,0.08749182501634997,False,0.000201999596000808,False,False,True,False,False
max_delinquency_12m,int32,False,12,0.08749182501634997,False,0.000201999596000808,False,False,True,False,False
rate_change_since_origination,float64,False,12,0.0,False,9.99998000004e-06,False,False,True,False,False
num_delinquent_months_12m,int64,False,13,0.08749182501634997,False,0.000555998888002224,False,False,True,False,False
consecutive_delinquent_months,int32,False,13,0.0,False,0.000621998756002488,False,False,True,False,False
months_since_last_delinquency,int32,False,14,0.0,False,0.967006065987868,False,False,True,False,False
observation_year,int32,False,21,0.0,False,1.7999964000072e-05,False,False,True,False,False
CURRENT_LOAN_DELINQUENCY_STATUS,int32,False,22,5.999988000024e-06,False,0.00017999964000072,False,True,True,False,False
ELTV,float64,False,47,0.9997720004559991,False,1.999996000008e-06,False,False,True,False,False
PROPERTY_STATE,int32,False,54,0.0,False,,False,True,False,False,False
rolling_mean_delinquency_6m,float64,False,59,0.08749182501634997,False,,False,False,False,False,False
MI_PERCENTAGE,int32,False,64,9.99998000004e-06,False,,False,False,False,False,False
ORIGINAL_DTI,int32,False,66,0.021511956976086048,False,,False,False,False,False,False
ORIGINAL_CLTV,int32,False,122,6.5999868000264e-05,False,,False,False,False,False,False
LOAN_AGE,int32,False,161,0.0,False,,False,False,False,False,False
loan_age_squared,float64,False,161,0.0,False,,False,False,False,False,False
loan_age_cubic,float64,False,161,0.0,False,,False,False,False,False,False
ORIGINAL_LOAN_TERM,int32,False,203,0.0,False,,False,False,False,False,False
CREDIT_SCORE,int32,False,382,0.0029419941160117678,False,,False,False,False,False,False
rolling_min_rate_6m,float64,False,546,0.08749182501634997,False,,False,False,False,False,False
rolling_max_rate_6m,float64,False,546,0.08749182501634997,False,,False,False,False,False,False
CURRENT_INTEREST_RATE,float64,False,562,0.0,False,,False,False,False,False,False
ORIGINAL_INTEREST_RATE,float64,False,562,0.0,False,,False,False,False,False,False
ORIGINAL_UPB,float64,False,580,0.0,False,,False,False,False,False,False
REMAINING_MONTHS_TO_LEGAL_MATURITY,int32,False,685,1.5999968000064e-05,False,,False,False,False,False,False
rolling_avg_rate_6m,float64,False,711,0.08749182501634997,False,,False,False,False,False,False
remaining_term_pct,float64,False,1533,1.5999968000064e-05,False,,False,False,False,False,False
balance_delinquency_interaction,float64,False,4509,0.0,False,,False,False,False,False,False
credit_dti_interaction,float64,False,12215,0.0,False,,False,False,False,False,False
rolling_max_balance_6m,float64,False,27979,0.08749182501634997,False,,False,False,False,False,False
balance_change_12m,float64,False,30545,0.0,False,,False,False,False,False,False
rolling_min_balance_6m,float64,False,148608,0.08749182501634997,False,,False,False,False,False,False
balance_change_3m,float64,False,153749,0.0,False,,False,False,False,False,False
balance_change_6m,float64,False,167204,0.0,False,,False,False,False,False,False
rolling_avg_balance_6m,float64,False,180752,0.08749182501634997,False,,False,False,False,False,False
remaining_balance_pct,float64,False,198974,0.0,False,,False,False,False,False,False
principal_paid_pct,float64,False,199377,0.0,False,,False,False,False,False,False
CURRENT_ACTUAL_UPB,float64,False,200526,0.0,False,,False,False,False,False,False
INTEREST_BEARING_UPB,float64,False,200529,0.0,False,,False,False,False,False,False
age_balance_interaction,float64,False,209049,0.0,False,,False,False,False,False,False
